-35:17:28|||Counting down to launch
000:01:10|P|PAO|And at 1 minute, 10 seconds; we show an altitude of 4.1 nautical miles; downrange, 1 mile.
000:01:17|O|CDR|Two g's.
000:01:26|O|CDR|Alt is looking good.
000:01:27|P|PAO|All sources continue to report that we are Go; the trajectory on our plot board is right on the preplanned line.
000:01:31|O|CMP|Okay, you're right on at 01:30. 10 4 - a little bit high - we're a little bit high, about 0.4 of a mile.
000:01:37|O|CDR|Got to speak louder.
000:01:37|P|PAO|And the booster engineer reports we are now through the region of maximum dynamic pressure and we're Go.
000:01:39|O|CMP|Okay.
000:01:40|O|LMP|Cabin's looking good.
000:01:43|O|CDR|2&frac12; g's and we're looking good in alpha.
000:01:50|O|CDR|40,000.
000:01:55|C|Kerwin|13, Houston. Stand by for Mode I Charlie.
000:01:57|O|CDR|Roger.
000:01:58|C|Kerwin|Mark.
000:01:59|C|Kerwin|You're I Charlie.
000:02:00|T|CDR|Mark.
000:02:01|T|CDR|I Charlie.
000:02:02|C|Kerwin|And, 13, you are Go for staging.
000:02:04|T|CDR|Go for staging. Roger.
000:02:05|T|CMP|We're EDS, manual.
000:02:07|O|CDR|Okay.
000:02:07|P|PAO|Altitude now 17 miles, coming up on staging.
000:02:08|C|Kerwin|Copy that.
000:02:11|O|CDR|3&frac12; g's.
000:02:16|T|CDR|Inboard.
000:02:19|P|PAO|Jim Lovell reports that the inboard engine has shut down as scheduled.
000:02:27|C|Kerwin|We confirm inboard out, 13. You're looking good.
000:02:29|T|CDR|Roger.
000:02:36|P|PAO|Coming up on 30 miles altitude.
000:02:42|O|CDR|Coming up on 4 g.
000:02:46|O|CMP|Got a little flash out the window.
000:02:48|T|CDR|S-II ignition.
000:02:50|O|CMP|...
000:02:51|O|LMP|Yes.
000:02:51|C|Kerwin|Roger.
000:02:52|O|CDR|We have half a g; looks good.
000:02:57|O|CMP|Okay, 3 min. That's the babe.
000:03:00|C|Kerwin|13, Houston. Trajectory is good; thrust is good.
000:03:04|T|CDR|Roger.
000:03:04|O|CMP|She's right on, Jim.
000:03:06|O|LMP|Stand by for tower Jett.
000:03:06|P|PAO|CapCom Joe Kerwin confirming to the crew that the second stage looks good at this point; we are now 46 miles high, 70 miles - 78 miles downrange.
000:03:15|T|CDR|Skirt Sep ... Tower Jett.
000:03:17|O|CDR|Roger.
000:03:18|O|LMP|Tower Jett.
000:03:19|O|CMP|Beautiful.
000:03:21|C|Kerwin|We confirm skirt SEP. Roger. Tower Jett; mode II, Jim. Looking good.
000:03:22|O|LMP|Look at that.
000:03:24|T|CDR|Mode II.
000:03:28|O|LMP|Look at the horizon out there.
000:03:29|O|CMP|Yes. There it comes.
000:03:32|O|LMP|That plume!
000:03:32|P|PAO|Launch vehicle  -
000:03:33|T|CDR|Guidance initiate.
000:03:34|O|LMP|That's smooth! Boy, is she boiling. That really -
000:03:38|O|CMP|Here.
000:03:39|O|LMP|- points away, there. Window is not too bad.
000:03:39|P|PAO|And Lovell reports that the Guidance System is correcting the small errors.
000:03:43|C|Kerwin|13, Houston. Guidance is good, and the CMC is Go.
000:03:47|T|CMP|Okay. Thank you.
000:03:48|T|CDR|13; Roger.
000:03:49|O|CMP|Okay, we're Mode II; I'm set for staging.
000:03:52|O|CDR|Mode II. Got them all Rate Command and hang on.
000:03:55|P|PAO|Coming up now on 4 minutes. We are now at an altitude of 63 miles.
000:04:00|O|CDR|Four minutes.
000:04:03|O|CMP|Okay, Jim, we're right on.
000:04:04|O|CDR|Okay.
000:04:05|O|CMP|Trajectory's looking good.
000:04:06|O|CDR|Want a little bit more light?
000:04:07|O|CMP|No, no. That's it -
000:04:08|O|CDR|How's this?
000:04:09|O|CMP|Yes. That's fine.
000:04:12|O|CDR|04:11.
000:04:13|O|LMP|Cabin's settled out very nicely.
000:04:14|O|CMP|Yes.
000:04:14|P|PAO|At 4 minutes, 15 seconds, the trajectory.
000:04:15|O|CDR|Okay.
000:04:16|C|Kerwin|13, Houston. You are Go at 4 minutes. The little red lines are right on the little white lines down here.
000:04:22|T|CDR|Sounds good.
000:04:30|O|CDR|Coming up on one g.
000:04:31|O|CMP|Boy, we're right on. We're about a mile and two-tenths high, though, but we're right on V<sub>i</sub> and right on H-dot.
000:04:33|P|PAO|Velocity now up to 11,000 feet per second. That's about 36 percent of the amount needed for a minimum orbit. We're now 75 miles in altitude.
000:04:36|O|CDR|That's ... One g. You could walk around here.
000:04:51|O|CMP|I bet I never had such a view. Freddo ... -
000:04:51|P|PAO|222 miles downrange now. The EECOM reports -
000:04:55|C|Kerwin|13, Houston. Coming up 5 minutes. You're looking perfect. Over.
000:04:59|T|CDR|13; Roger.
000:05:01|P|PAO|And EECOM reports that cabin pressure is sealed at 6.1 pound, which is normal. We are now 250 miles downrange, altitude 81 nautical miles.
000:05:04|O|CDR|... gimbal motors.
000:05:05|O|CMP|Okay. Watching 8.
000:05:30|P|PAO|And at 5 minutes 30 seconds into the launch, we continue to look very good on the second stage.
000:05:32|T|CDR|Inboard.
000:05:32|O|CMP|Inboard.
000:05:35|P|PAO|Jim Lovell just reported the inboard engine has shut down as scheduled.
000:05:36|C|Kerwin|Rog. We confirm inboard out.
000:05:38|O|CDR|That shouldn't have happened.
000:05:40|O|LMP|No. That's 7:42. That's 2 minutes early.
000:05:44|C|Kerwin|13, Houston. Stand by for S-IVB to COI capability.
000:05:48|T|CDR|S-IVB to COI. Roger.
000:05:49|C|Kerwin|Roger. You've got it now, Jim.
000:05:52|T|CDR|We've got S-IVB to COI.
000:05:53|O|LMP|Okay. Gim(bal) motors, Jim. Set 1.
000:05:55|O|CDR|Okay. Pitch 1.
000:05:56|P|PAO|That booster reports that the inboard engine shutdown was a bit early. We are continuing to burn on the 4 outboard engines.
000:05:57|O|LMP|Good.
000:05:58|O|CDR|Yaw 1.
000:05:59|O|LMP|Good. Pitch 2.
000:06:00|O|CDR|Pitch 2.
000:06:01|O|LMP|Good.
000:06:02|O|CDR|Yaw 2  -
000:06:03|C|Kerwin|You're Go at 6 minutes, 13.
000:06:06|T|CDR|Go at 6.
000:06:10|T|CDR|And, Houston, what's the story on engine 5?
000:06:14|C|Kerwin|Jim, Houston. We don't have a story on why the inboard out was early, but the other engines are Go and you are Go.
000:06:21|T|CDR|Roger.
000:06:24|O|LMP|Okay. We're - we're a little bit low on H-dot, now, but that's to be expected.
000:06:28|O|CDR|Okay. We're Mode II, gentlemen, Mode II.
000:06:39|P|PAO|At 6 minutes, 40 seconds -
000:06:41|C|Kerwin|13, Houston. Still looking good. Your gimbals are good; trim is good.
000:06:45|T|CDR|Roger.
000:06:46|O|CDR|We just checked the trim. It doesn't fit.
000:06:53|C|Kerwin|13, Houston. Level sense arm time, 8 plus 38 nominal; S-II cut-off time, 9 plus 48. Over.
000:07:02|T|CDR|Roger. Nominal on the level sense arm, 9:48 on the S-II cut-off.
000:07:06|O|CMP|It's going to run -
000:07:08|C|Kerwin|That's affirmative, and stand by for S-IVB to orbit.
000:07:11|C|Kerwin|Mark.
000:07:12|C|Kerwin|You have S-IVB to orbit, Jim.
000:07:14|T|CDR|Roger. We have S-IVB to orbit.
000:07:23|O|CDR|Didn't like that inboard.
000:07:23|P|PAO|We still have four good engines on the Saturn second stage. We show an altitude of 96 nautical miles, 545 downrange.
